isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_stopped,fixCross_2_started,outcome2Box_2_stopped,outcome2Box_3_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
FALSE,0.72,-0.28,-6.23,10.15,9.9,-0.25,-0.125,gamble,win,9.9,85.69666667,1090.272451,None,1090.272451,None,1091.622908,None,None,NaN,NaN,NaN,NaN,,,212685,214306,219088,0,0,220309
TRUE,0.72,-0.28,-6.51,10.43,1.5,-8.93,-3.715,gamble,win,1.5,87.19666667,1098.625655,None,1098.625655,None,1100.209633,None,None,1105.1949,1106.195291,0.78,1109.196403,None,None,222709,224610,229392,231793,235394,240817
FALSE,0.78,-0.22,-6.73,9.81,12.5,2.69,1.345,gamble,win,12.5,99.69666667,1115.7156,None,1115.7156,None,1117.216215,None,None,NaN,NaN,NaN,NaN,,,243217,245018,249800,0,0,251021
TRUE,0.78,-0.22,-6.95,10.03,4.5,-5.53,-0.515,certain,certain,-0.515,99.18166667,1124.219009,None,1124.219009,None,1126.169657,None,None,1131.154975,1132.155313,0.42,1135.15646,None,None,253421,255762,260544,262945,266546,271969
FALSE,0.42,-0.58,-7.53,15.65,-1.5,-17.15,-9.325,gamble,win,-1.5,97.68166667,1141.675703,None,1141.675703,None,1144.676835,None,None,NaN,NaN,NaN,NaN,,,274369,277971,282773,0,0,283974
TRUE,0.42,-0.58,-8.11,-2.705833333,7.3,4.594166667,2.297083333,gamble,lose,4.594166667,102.2758333,1151.679602,None,1151.679602,None,1152.84672,None,None,NaN,NaN,NaN,NaN,,,286374,287775,292557,0,0,293778
FALSE,0.42,-0.58,-8.69,-2.754166667,4.7,1.945833333,0.972916667,gamble,lose,1.945833333,104.2216667,1159.849417,None,1159.849417,None,1160.816458,None,None,1165.801708,1166.802084,0.62,1169.803267,None,None,296178,297339,302120,304521,308123,313546
FALSE,0.62,-0.38,-9.07,14.39,1.9,-12.49,-5.295,certain,certain,-5.295,98.92666667,1176.322485,None,1176.322485,None,1178.223199,None,None,NaN,NaN,NaN,NaN,,,315946,318227,323029,0,0,324230
FALSE,0.62,-0.38,-9.45,-2.1175,2.3,0.1825,1.24125,gamble,lose,0.1825,99.10916667,1185.225897,None,1185.225897,None,1186.426419,None,None,1191.411629,1192.41202,0.34,1195.413196,None,None,326630,328071,332873,335253,338855,344278
FALSE,0.34,-0.66,-10.11,19.35,7.7,-11.65,-1.975,certain,certain,-1.975,97.13416667,1201.932381,None,1201.932381,None,1203.899807,None,None,NaN,NaN,NaN,NaN,,,346678,349039,353841,0,0,355042
TRUE,0.34,-0.66,-10.77,20.01,-1.1,-21.11,-11.105,gamble,win,-1.1,96.03416667,1210.902503,None,1210.902503,None,1213.903726,None,None,1218.888995,1219.889344,0.81,1222.890492,None,None,357442,361044,365825,368226,371828,377251
TRUE,0.81,-0.19,-10.96,13.62,13.5,-0.12,-0.06,gamble,win,13.5,109.5341667,1229.409748,None,1229.409748,None,1231.26044,None,None,NaN,NaN,NaN,NaN,,,379651,381872,386654,0,0,387875
TRUE,0.81,-0.19,-11.15,13.81,8.3,-5.51,1.395,certain,certain,1.395,110.9291667,1238.263189,None,1238.263189,None,1240.78082,None,None,NaN,NaN,NaN,NaN,,,390275,393296,398078,0,0,399300
TRUE,0.81,-0.19,-11.34,14,2.5,-11.5,-4.5,gamble,win,2.5,113.4291667,1247.783561,None,1247.783561,None,1250.784674,None,None,1255.769907,1256.770315,0.72,1259.77145,None,None,401700,405301,410103,412484,416085,421488
FALSE,0.62,0.62,0.62,-9.3,13.9,4.6,2.3,gamble,lose,4.6,118.0291667,1283.59747,None,1283.59747,None,1284.731166,None,None,NaN,NaN,NaN,NaN,,,444676,446037,450839,0,0,452040
FALSE,0.62,0.62,1.24,-9.92,-0.5,-10.42,-5.46,gamble,lose,-10.42,107.6091667,1291.733879,None,1291.733879,None,1294.735084,None,None,1299.720309,1300.720742,0.18,1303.721851,None,None,454440,458042,462904,465225,468826,474249
