isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,False,0.5,-0.5,-4.28,11.28,7.5,-3.78,1.86,gamble,win,7.5,47.5341666666667,247.284789894591,1,247.284789894591,None,None,None,NaN,NaN,NaN,NaN,NaN,159004,161205,165986,0,0,167208
True,True,True,0.5,-0.5,-4.78,11.78,-0.9,-12.68,-6.79,certain,certain,-6.79,40.7441666666667,256.121492243838,3,256.121492243838,None,None,None,262.924203861156,263.924581443542,0.51,7.50281490851194,266.925759628473,169608,171789,176591,178972,182573,188016
True,True,False,0.51,-0.49,-5.27,12.13,0.5,-11.63,-5.565,certain,certain,-5.565,35.1791666666667,273.466252456652,3,273.466252456652,None,None,None,NaN,NaN,NaN,NaN,NaN,190416,193657,198459,0,0,199661
True,False,True,0.51,-0.49,-5.76,-2.195,5.7,3.505,1.7525,gamble,lose,3.505,38.6841666666667,283.16535995435,1,283.16535995435,None,None,None,NaN,NaN,NaN,NaN,NaN,202061,203501,208283,0,0,209505
True,True,True,0.51,-0.49,-6.25,13.11,0.7,-12.41,-5.855,certain,certain,-5.855,32.8291666666667,291.368597179127,3,291.368597179127,None,None,None,298.321301148797,299.321693770471,0.5,7.50285842648009,302.322861075925,211905,214265,219067,221448,225050,230473
True,False,False,0.5,-0.5,-6.75,-2.3125,3.7,1.3875,0.69375,gamble,lose,1.3875,34.2166666666667,308.842045139638,1,308.842045139638,None,None,None,NaN,NaN,NaN,NaN,NaN,232873,234213,238995,0,0,240217
True,True,True,0.5,-0.5,-7.25,14.25,-0.1,-14.35,-7.225,gamble,win,-0.1,34.1166666666667,316.961878261005,1,316.961878261005,None,None,None,323.8312322048,324.831612027076,0.6,7.50281074870145,327.832779972523,242617,244878,249679,252060,255662,261085
True,True,True,0.6,-0.4,-7.65,13.25,7.9,-5.35,1.275,certain,certain,1.275,35.3916666666667,334.35198483523,3,334.35198483523,None,None,None,NaN,NaN,NaN,NaN,NaN,263485,265466,270268,0,0,271469
True,True,True,0.6,-0.4,-8.05,13.65,11.7,-1.95,-0.975000000000001,gamble,win,11.7,47.0916666666667,343.005374788889,1,343.005374788889,None,None,None,NaN,NaN,NaN,NaN,NaN,273869,275570,280371,0,0,281573
True,False,False,0.6,-0.4,-8.45,-2.10416666666667,9.1,6.99583333333333,3.49791666666667,gamble,lose,6.99583333333333,54.0875,351.425298849994,1,351.425298849994,None,None,None,357.644377574674,358.644766036479,0.67,7.50277459039353,361.645879904449,283973,285453,290235,292636,296238,301681
