isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,choiceKey_rt,fixCross_ISI_stopped,happyText_stopped,happySlider_rt,happySlider_started,happySlider_stopped,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,False,0.5,-0.5,-0.5,-1.79166666666667,7.9,6.10833333333333,3.05416666666667,gamble,lose,6.10833333333333,53.14625,869.995332741411,None,869.995332741411,None,871.062429144047,875.047296551405,1.03398145700339,None,None,7.50277728447691,880.049121729215,None,830499,831779,836561,838962,842563,847986
True,True,0.5,-0.5,-1,8,12.5,4.5,2.25,gamble,win,12.5,65.64625,886.568271536846,None,886.568271536846,None,887.668682873831,891.670315102325,1.06732486980036,,,NaN,NaN,,850386,851707,856509,0,0,857710
False,True,0.5,-0.5,-1.5,-1.875,3.1,1.225,0.6125,gamble,lose,1.225,66.8712499999999,894.671345764655,None,894.671345764655,None,896.05524618621,900.040033918107,1.35079123568721,,,NaN,NaN,,860110,861770,866553,0,0,867774
True,True,0.5,-0.5,-2,9,11.1,2.1,1.05,gamble,win,11.1,77.9712499999999,903.057896277867,None,903.057896277867,None,904.124925484182,908.109762813314,1.03380386694334,None,None,7.5027907238109,913.111636308371,None,870174,871454,876237,878637,882239,887662
False,False,0.5,-0.5,-2.5,-1.95833333333333,7.1,5.14166666666667,2.57083333333333,gamble,lose,5.14166666666667,83.1129166666666,919.630759237451,None,919.630759237451,None,920.847914436832,924.832751445938,1.184071931988,,,NaN,NaN,,890062,891522,896304,0,0,897525
True,False,0.5,-0.5,-3,10,8.9,-1.1,-0.55,gamble,win,8.9,92.0129166666666,927.850563248503,None,927.850563248503,None,929.251163214911,933.235945507069,1.36749334039632,None,None,7.50277056486811,938.237821882009,None,899925,901606,906388,908789,912391,917814
True,False,0.5,-0.5,-3.5,10.5,5.1,-5.4,-0.15,certain,certain,-0.15,91.8629166666666,944.756942251232,None,944.756942251232,None,946.691032662173,950.692524098675,1.90101290319581,,,NaN,NaN,,920214,922535,927337,0,0,928538
True,False,0.5,-0.5,-4,11,12.7,1.7,0.85,gamble,win,12.7,104.562916666667,953.693687233492,None,953.693687233492,None,954.544063932495,958.545562408515,0.817105282098055,None,None,7.50303487002384,963.530779236346,None,930938,931958,936760,939141,942743,948166
True,False,0.5,-0.5,-4.5,11.5,-0.3,-11.8,-6.05,certain,certain,-6.05,98.5129166666666,970.049877206911,None,970.049877206911,None,971.800562528544,975.802075083833,1.7175777356606,,,NaN,NaN,,950566,952667,957468,0,0,958670
True,True,0.5,-0.5,-5,12,6.9,-5.1,0.9,gamble,win,6.9,105.412916666667,978.803184461663,None,978.803184461663,None,980.687253033859,984.672081083525,1.85096386598889,,,NaN,NaN,,961070,963331,968113,0,0,969334
False,True,0.5,-0.5,-5.5,-2.20833333333333,7.3,5.09166666666667,2.54583333333333,gamble,lose,5.09166666666667,110.504583333333,987.689888726221,None,987.689888726221,None,988.656918732566,992.64176246128,0.933995056315325,None,None,7.50263713230379,997.643644595868,None,971734,972894,977676,980077,983678,989102
True,True,0.5,-0.5,-6,13,3.5,-9.5,-3,certain,certain,-3,107.504583333333,1004.16284496069,None,1004.16284496069,None,1006.48036029981,1010.46517619013,2.28423240291886,,,NaN,NaN,,991502,994283,999065,0,0,1000286
False,True,0.5,-0.5,-6.5,-2.29166666666667,9.9,7.60833333333333,3.80416666666667,gamble,lose,7.60833333333333,115.112916666667,1013.48298703274,None,1013.48298703274,None,1014.51671218418,1018.5015495132,1.00063452450559,None,None,7.5027408064343,1023.50342812808,None,1002686,1003926,1008709,1011110,1014711,1020134
True,True,0.5,-0.5,-7,14,7.5,-6.5,0.5,gamble,win,7.5,122.612916666667,1030.02258209547,None,1030.02258209547,None,1031.12302159076,1035.12448358897,1.06735110841691,,,NaN,NaN,,1022534,1023854,1028656,0,0,1029858
True,True,0.5,-0.5,-7.5,14.5,3.3,-11.2,-3.95,certain,certain,-3.95,118.662916666667,1038.12564736372,None,1038.12564736372,None,1039.8930501492,1043.82781956217,1.6843229578808,,,NaN,NaN,,1032258,1034379,1039100,0,0,1040322
False,True,0.5,-0.5,-8,-2.41666666666667,9.1,6.68333333333333,3.34166666666667,gamble,lose,6.68333333333333,125.34625,1046.84560704604,None,1046.84560704604,None,1048.36291215697,1052.34769156924,1.48423976264894,None,None,7.50269408919849,1057.34960218228,None,1042722,1044543,1049325,1051725,1055327,1060750
True,False,0.45,-0.55,-8.55,16.25,-1.1,-17.35,-9.225,certain,certain,-9.225,116.12125,1063.8687225515,None,1063.8687225515,None,1065.61944179132,1069.62096426601,1.71762637293432,,,NaN,NaN,,1063150,1065251,1070052,0,0,1071254
False,True,0.45,-0.55,-9.1,-2.68333333333333,5.9,3.21666666666667,1.60833333333333,gamble,lose,3.21666666666667,119.337916666667,1072.62207236397,None,1072.62207236397,None,1073.9892210837,1077.97406673233,1.33405969268642,None,None,7.5026716904249,1082.97594726703,None,1073654,1075295,1080076,1082477,1086079,1091502
True,True,0.48,-0.52,-9.62,16.9,1.5,-15.4,-6.95,certain,certain,-6.95,112.387916666667,1089.49511531356,None,1089.49511531356,None,1091.22910141037,1095.23065012356,1.70086123177316,,,NaN,NaN,,1093902,1095983,1100785,0,0,1101986
True,True,0.48,-0.52,-10.14,17.42,5.5,-11.92,-3.21,certain,certain,-3.21,109.177916666667,1098.2317921397,None,1098.2317921397,None,1100.84942795208,1104.85093186784,2.58454550546594,None,None,7.50274592614733,1109.83610933786,None,1104386,1107527,1112329,1114710,1118311,1123734
True,False,0.5,-0.5,-10.64,17.64,0.1,-17.54,-8.72,certain,certain,-8.72,100.457916666667,1116.35526234529,None,1116.35526234529,None,1118.37271224812,1122.37420720444,1.98439799377229,,,NaN,NaN,,1126134,1128556,1133357,0,0,1134559
True,False,0.5,-0.5,-11.14,18.14,8.5,-9.64,-0.57,certain,certain,-0.57,99.8879166666666,1125.3753252218,None,1125.3753252218,None,1127.75960514217,1131.76108985895,2.3511806539027,,,NaN,NaN,,1136959,1139820,1144622,0,0,1145823
True,True,0.5,-0.5,-11.64,18.64,10.9,-7.74,1.58,gamble,win,10.9,110.787916666667,1134.76223027508,None,1134.76223027508,None,1135.87932419789,1139.88083451334,1.08400393580087,None,None,7.50271104823332,1144.86603918183,None,1148223,1149564,1154366,1156747,1160348,1165771
True,False,0.45,-0.55,-12.19,19.89,0.5,-19.39,-9.445,certain,certain,-9.445,101.342916666667,1151.38519410917,None,1151.38519410917,None,1153.58601838304,1157.58753733791,2.16772084764671,,,NaN,NaN,,1168171,1170812,1175614,0,0,1176815
True,True,0.45,-0.55,-12.74,20.44,9.5,-10.94,-0.720000000000002,certain,certain,-0.720000000000002,100.622916666667,1160.5886687946,None,1160.5886687946,None,1163.25637380313,1167.25785979989,2.63457246404141,None,None,7.50272928713821,1172.24306958809,None,1179215,1182416,1187219,1189599,1193201,1198624
False,False,0.5,-0.5,-13.24,-2.85333333333333,4.9,2.04666666666667,1.02333333333333,gamble,lose,2.04666666666667,102.669583333333,1178.76222003566,None,1178.76222003566,None,1179.71267305035,1183.69741502474,0.917359827901237,,,NaN,NaN,,1201024,1202164,1206946,0,0,1208168
True,False,0.5,-0.5,-13.74,20.74,10.1,-10.64,-0.270000000000001,certain,certain,-0.270000000000001,102.399583333333,1186.71526778501,None,1186.71526778501,None,1188.71600566374,1192.71751661913,1.96766837046016,None,None,7.50264769175556,1197.70270208875,None,1210568,1212969,1217770,1220151,1223753,1229156
