isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,0.52,0.52,7.09,2.41083333333333,1.525,-0.885833333333334,0.319583333333333,gamble,win,1.525,62.2691666666667,605.291052670651,None,605.291052670651,605.291052670651,None,606.724922211881,610.726483413946,NaN,NaN,NaN,NaN,,,603674,605395,610197,0,0,611399
True,0.52,0.52,7.61,-14.89,12.1,-2.79,-1.395,gamble,lose,-2.79,59.4791666666667,613.727622557082,None,613.727622557082,613.727622557082,None,615.378266876916,619.379788080976,620.363517853188,621.363906633778,0.52,624.365044176993,None,None,613799,615779,620582,622962,626564,631987
True,0.52,0.52,8.13,2.4975,3.475,0.9775,0.48875,gamble,win,3.475,62.9541666666667,630.884233939039,None,630.884233939039,630.884233939039,None,632.21808671311,636.202950508708,NaN,NaN,NaN,NaN,,,634387,635987,640769,0,0,641991
False,0.52,0.52,8.65,-15.93,13.1,-2.83,-1.415,gamble,lose,-2.83,60.1241666666667,639.22081649684,None,639.22081649684,639.22081649684,None,640.737987479664,644.739534922413,645.723318451943,646.723660514865,0.52,649.724806377664,None,None,644391,646211,651013,653394,656996,662419
True,0.52,0.52,9.17,-16.45,6.3,-10.15,-1.925,certain,certain,-1.925,58.1991666666667,656.24403965754,None,656.24403965754,656.24403965754,None,657.744577550686,661.746148352271,NaN,NaN,NaN,NaN,,,664819,666619,671421,0,0,672623
True,0.52,0.52,9.69,2.6275,1.175,-1.4525,-0.13875,certain,certain,-0.13875,58.0604166666667,664.747302854641,None,664.747302854641,664.747302854641,None,667.214886552862,671.216424396094,NaN,NaN,NaN,NaN,,,675023,677984,682786,0,0,683987
True,0.52,0.52,10.21,-17.49,-0.1,-17.59,-8.845,certain,certain,-8.845,49.2154166666667,674.217578578475,None,674.217578578475,674.217578578475,None,676.801904608921,680.803509648798,681.787197503098,682.787580523978,0.48,685.788742385979,None,None,686387,689488,694290,696671,700272,705696
False,0.48,0.48,10.69,-17.41,5.9,-11.51,-2.805,certain,certain,-2.805,46.4104166666667,692.30787295098,None,692.30787295098,692.30787295098,None,693.975209557539,697.976718282222,NaN,NaN,NaN,NaN,,,708096,710097,714898,0,0,716100
False,0.48,0.48,11.17,2.61083333333333,3.125,0.514166666666667,1.81958333333333,gamble,win,3.125,49.5354166666667,700.977881104172,None,700.977881104172,700.977881104172,None,702.911917677069,706.896789152284,707.89721409107,708.897605751521,0.52,711.898722495771,None,None,718500,720821,725603,728004,731605,737028
False,0.52,0.52,11.69,-18.97,9.5,-9.47,0.0150000000000006,certain,certain,0.0150000000000006,49.5504166666667,718.417930496908,None,718.417930496908,718.417930496908,None,720.635444438612,724.620305994322,NaN,NaN,NaN,NaN,,,739428,742089,746871,0,0,748092
