isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,False,True,1,0,-0.89,-0.0741666666666667,7.9,7.82583333333333,3.91291666666667,gamble,lose,7.82583333333333,-69.4041666666667,971.679842477781,1,0.683895728405332,972.396831060061,976.398394827003,985.885365355731,977.382105668046,978.382491569995,0.98,7.50281010870822,981.383585278905,0,0,0,0,0,0
True,True,False,0.98,-0.02,-0.91,1.19,2.9,1.71,0.855,gamble,win,2.9,-66.5041666666667,987.902858618443,1,1.65071199872182,989.586856742069,993.571685290866,994.572080792394,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.98,-0.02,-0.93,1.21,6.3,5.09,2.545,gamble,win,6.3,-60.2041666666667,996.589507498225,1,0.817227419145638,997.439829371171,1001.42470783766,1010.94511968401,1002.42514685716,1003.42548316144,1,7.51964740207768,1006.42663446764,0,0,0,0,0,0
True,False,False,1,0,-0.93,-0.0775,8.7,8.6225,4.31125,gamble,lose,8.6225,-51.5816666666667,1012.96251663123,1,0.85064601781778,1013.84617038694,1017.83108373178,1018.83147443354,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,1,0,-0.93,0.93,4.7,3.77,1.885,gamble,win,4.7,-46.8816666666667,1020.84892801809,1,0.883981100399978,1021.76590821677,1025.75082444149,1035.25449339009,1026.75119530415,1027.75162792395,1,7.50286706606857,1030.75281186865,0,0,0,0,0,0
True,True,False,1,0,-0.93,0.93,-1.3,-2.23,-1.765,certain,certain,-1.765,-48.6466666666667,1037.27194121492,3,1.91765696706716,1039.22270063544,1043.20765269847,1044.20796500388,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,1,0,-0.93,0.93,6.5,5.57,2.785,gamble,win,6.5,-42.1466666666667,1046.22540930888,1,2.00110202853102,1048.25959395178,1052.26114075951,1053.24478504364,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,True,1,0,-0.93,-0.0775,13.9,13.8225,6.91125,gamble,lose,13.8225,-28.3241666666667,1055.2622562274,1,2.11759354604874,1057.41313845819,1061.39796444713,1070.91833981517,1062.39835610881,1063.39879512831,0.75,7.51957444549771,1066.39994067478,0,0,0,0,0,0
True,True,True,0.75,-0.25,-1.18,4.68,1.1,-3.58,-1.24,gamble,win,1.1,-27.2241666666667,1072.93582443829,1,0.850808250252157,1073.81944651547,1077.8043301017,1078.80472176342,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.75,-0.25,-1.43,4.93,5.1,0.17,0.085,gamble,win,5.1,-22.1241666666667,1080.82216126865,1,1.58427926248987,1082.4395103461,1086.42433825493,1095.92807312042,1087.42472319695,1088.42512157833,1,7.50294610235142,1091.42627416449,0,0,0,0,0,0
True,True,True,1,0,-1.43,1.43,8.9,7.47,3.735,gamble,win,8.9,-13.2241666666667,1097.94552702497,1,0.733876113314182,1098.71249855208,1102.69731078166,1103.69774660128,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,1,0,-1.43,1.43,-1.5,-2.93,-2.215,certain,certain,-2.215,-15.4391666666667,1105.71520434567,3,1.55084882432129,1107.29914378401,1111.30064771374,1120.80433362155,1112.28436303456,1113.28475021647,0.76,7.51947237027343,1116.28595432022,0,0,0,0,0,0
