lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
NaN,NaN,True,True,True,0.33,-0.67,-2,11.38,13.5,2.12,1.06,gamble,win,13.5,-23.39875,959.022244969499,1,959.955938199535,963.940832393593,964.94122437411,0.900583202834241,NaN,NaN,NaN,NaN,NaN,878268,879389,884171,0,0,885392
NaN,NaN,True,True,False,0.33,-0.67,-2.67,12.05,4.7,-7.35,-1.325,gamble,win,4.7,-18.69875,966.958679182688,1,968.359197748825,972.360755431117,981.847742320737,1.36741365876514,973.344464084366,974.344805187313,0.47,7.50283825828228,977.345952650066,887792,889473,894275,896656,900257,905680
NaN,NaN,True,True,False,0.47,-0.53,-3.2,10.62,13.9,3.28,1.64,gamble,win,13.9,-4.79875000000004,983.865152011625,1,984.598750590347,988.583662063582,989.584054364008,0.700507110683247,NaN,NaN,NaN,NaN,NaN,908080,908960,913742,0,0,914964
NaN,NaN,True,True,False,0.47,-0.53,-3.73,11.15,6.1,-5.05,0.524999999999999,gamble,win,6.1,1.30124999999996,991.601447095745,1,992.90194505488,996.886868367554,1006.39044738887,1.26743752951734,997.887240189011,998.887634729268,0.58,7.50276018213481,1001.88872459484,917364,918924,923706,926107,929708,935132
NaN,NaN,True,True,True,0.58,-0.42,-4.15,10.03,6.7,-3.33,1.685,gamble,win,6.7,8.00124999999996,1008.40790987713,1,1009.35833283199,1013.35985691589,1014.34352397127,0.917324447189458,NaN,NaN,NaN,NaN,NaN,937532,938672,943474,0,0,944675
NaN,NaN,True,False,False,0.58,-0.42,-4.57,-1.85083333333333,13.3,11.4491666666667,5.72458333333333,gamble,lose,11.4491666666667,19.4504166666666,1016.36098645953,1,1017.07796314813,1021.07945523364,1030.56643252366,0.683927778271027,1022.06316132704,1023.06359138549,0.55,7.50274418306071,1026.06474012812,947075,947936,952738,955118,958720,964143
NaN,NaN,True,True,True,0.55,-0.45,-5.02,11.32,2.9,-8.42,-2.76,certain,certain,-2.76,16.6904166666666,1032.58393021021,3,1034.50128601585,1038.48614661151,1039.48654243175,1.884286736371,NaN,NaN,NaN,NaN,NaN,966543,968844,973626,0,0,974847
NaN,NaN,True,True,False,0.55,-0.45,-5.47,11.77,6.5,-5.27,0.615,gamble,win,6.5,23.1904166666666,1041.50403019879,1,1043.28802306193,1047.27286285872,1048.2732529192,1.75089883513283,NaN,NaN,NaN,NaN,NaN,977247,979388,984170,0,0,985391
NaN,NaN,True,True,False,0.55,-0.45,-5.92,12.22,1.1,-11.12,-5.01,gamble,win,1.1,24.2904166666666,1050.29073780635,NaN,1053.29185039084,1057.27676250401,1066.7804071221,NaN,1058.27720792172,1059.27748598787,0.59,7.50275858223904,1062.27861937135,987791,991393,996175,998576,1002177,1007680
NaN,NaN,True,False,False,0.59,-0.41,-6.33,-1.9625,12.9,10.9375,5.46875,gamble,lose,10.9375,35.2279166666666,1068.86456164112,1,1069.54815567611,1073.53302171151,1074.53333785583,0.650521765928715,NaN,NaN,NaN,NaN,NaN,1010080,1010900,1015682,0,0,1016904
NaN,NaN,True,True,False,0.59,-0.41,-6.74,12.48,13.1,0.619999999999999,0.31,gamble,win,13.1,48.3279166666666,1076.55081250344,1,1077.251062667,1081.25260051014,1090.73962643789,0.667174694593996,1082.23636804055,1083.23667490517,0.67,7.50281521945726,1086.23789980402,1019304,1020144,1024946,1027327,1030928,1036351
NaN,NaN,True,True,False,0.67,-0.33,-7.07,11.69,0.9,-10.79,-4.945,certain,certain,-4.945,43.3829166666666,1092.75708284636,3,1094.70780562633,1098.7093761079,1099.69309244084,1.91763867146801,NaN,NaN,NaN,NaN,NaN,1038751,1041092,1045894,0,0,1047095
NaN,NaN,True,False,False,0.67,-0.33,-7.4,-1.77166666666667,-1.5,-3.27166666666667,-2.38583333333333,gamble,lose,-3.27166666666667,40.11125,1101.71047813294,1,1104.34487942362,1108.32968850189,1109.33007632254,2.60129510331899,NaN,NaN,NaN,NaN,NaN,1049495,1052657,1057439,0,0,1058660
NaN,NaN,True,False,True,0.67,-0.33,-7.73,-1.79916666666667,2.3,0.500833333333333,1.40041666666667,gamble,lose,0.500833333333333,40.6120833333333,1111.34757432912,1,1112.41459882318,1116.3994616589,1125.90309475746,1.03393078618683,1117.39984435972,1118.40020658169,0.58,7.50277650135104,1121.40137036354,1061060,1062341,1067122,1069523,1073125,1078548
